r,z,zErr
16.923948,0.14272,1.41219E-4
17.013453,0.102722,1.44421E-4
18.071815,0.125536,1.45123E-4
17.130604,0.132471,1.52984E-4
17.502689,0.045249,1.68655E-4
17.550522,0.170131,1.41627E-4
17.830862,0.134132,1.44744E-4
17.126143,0.15868,1.34001E-4
17.71524,0.091284,1.54496E-4
17.5933,0.157951,1.29459E-4
17.503355,0.074074,1.49523E-4
17.255795,0.075775,1.79174E-4
17.904509,0.175854,1.1745E-4
17.114645,0.113369,1.45257E-4
17.582834,0.154991,1.47495E-4
18.201183,0.08985,1.44737E-4
18.328436,0.131564,1.41493E-4
17.411007,0.115222,1.27355E-4
17.782476,0.136301,1.31939E-4
18.260839,0.195911,1.33452E-4
18.699247,0.175126,1.44479E-4
17.255812,0.117596,1.35405E-4
17.735807,7.20058E-3,1.80962E-4
17.766115,0.112479,1.44623E-4
16.551571,0.067131,1.67053E-4
17.195166,0.088108,1.48521E-4
17.612074,0.095584,1.5259E-4
17.47224,0.11383,1.61689E-4
17.769764,0.090844,1.43689E-4
17.670538,0.100736,1.54469E-4
17.219223,0.151545,1.43031E-4
